file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,setUp/0,false,58,5,3,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,10,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,localeResolver/0,false,33,3,0,0,0,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,localeChangeInterceptor/0,false,45,2,1,1,0,1,1,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21,1,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/system/WebConfiguration.java,org.springframework.samples.petclinic.system.WebConfiguration,addInterceptors/1[org.springframework.samples.petclinic.system.InterceptorRegistry],false,56,2,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/system/CrashController.java,org.springframework.samples.petclinic.system.CrashController,triggerException/0,false,32,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,12,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDate/0,false,52,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDescription/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,Visit/0,true,48,0,3,3,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDate/1[java.time.LocalDate],false,56,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDescription/1[java.lang.String],false,64,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/EntityUtils.java,org.springframework.samples.petclinic.service.EntityUtils,"getById/3[java.util.Collection<T>,java.lang.Class<T>,int]",false,44,3,1,0,1,4,2,8,1,0,3,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,28,9,0,true
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,supports/1[java.lang.Class<?>],false,60,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
