file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionHtml/0,headers,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionHtml/0,resp,5
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,testTriggerExceptionJson/0,resp,7
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,findAll/1[org.springframework.samples.petclinic.vet.Pageable],pageable,0
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,makePetTypes/0,petTypes,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,testPrint/0,petTypeName,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,testPrint/0,petType,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldParse/0,petType,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,localeToProps,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,fileName,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,reader,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,k,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,missingKeys,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,props,4
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,p,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,baseFile,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,path,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,entry,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,stream,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,baseProps,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,report,4
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,propertyFiles,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkI18nPropertyFilesAreInSync/0,baseKeys,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,p,6
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,hasLiteralText,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,file,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,stream,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,line,9
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,root,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,report,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,hasThTextAttribute,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,files,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,i,4
