file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,setUp/0,petValidator,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,setUp/0,petType,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,setUp/0,pet,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,setUp/0,errors,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDate/0,date,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,getDescription/0,description,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,Visit/0,date,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDate/1[java.time.LocalDate],date,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Visit.java,org.springframework.samples.petclinic.owner.Visit,setDescription/1[java.lang.String],description,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/PetValidator.java,org.springframework.samples.petclinic.owner.PetValidator,"validate/2[java.lang.Object,org.springframework.samples.petclinic.owner.Errors]",REQUIRED,6
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessCreationFormSuccess/0,mockMvc,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessCreationFormSuccess/0,TEST_OWNER_ID,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testInitCreationForm/0,mockMvc,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testInitCreationForm/0,TEST_OWNER_ID,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,setup/0,types,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,setup/0,TEST_PET_ID,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,setup/0,owners,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,setup/0,TEST_OWNER_ID,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessUpdateFormSuccess/0,mockMvc,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessUpdateFormSuccess/0,TEST_PET_ID,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessUpdateFormSuccess/0,TEST_OWNER_ID,1
