id;sku;nome;modelo;cor;capacidade;preco;parcelas;valor_parcela;cores_disponiveis;outras_cores;cores_esgotadas;selo;url
14973496361320;09072;Garrafa Vitalize Tempo Rose Quartz Stanley 1913;Garrafa Vitalize Tempo;Rose Quartz;710ml;349.0;12x;29.08;5;Black, Chalk, Purple Umbra, Blue Dream;0;Novidade;https://www.stanley1913.com.br/products/garrafa-tempo-rose-qtz-710ml?variant=53974433890664
14973496328552;09071;Garrafa Vitalize Tempo Chalk Stanley 1913;Garrafa Vitalize Tempo;Chalk;710ml;349.0;12x;29.08;5;Black, Purple Umbra, Rose Quartz, Blue Dream;0;Novidade;https://www.stanley1913.com.br/products/garrafa-tempo-chalk-710ml?variant=53974433857896
14973496295784;09179;Garrafa Vitalize Tempo Purple Umbra Stanley 1913;Garrafa Vitalize Tempo;Purple Umbra;710ml;349.0;12x;29.08;5;Black, Chalk, Rose Quartz, Blue Dream;0;Novidade;https://www.stanley1913.com.br/products/garrafa-tempo-purple-umbra-710ml?variant=53974433825128
14973480796520;09089;Copo Prismático Alto Black Eclipse Stanley 1913;Copo Prismático Alto;Black Eclipse;381ml;215.0;12x;17.91;3;Bourbon, Foundry Black;0;Novidade;https://www.stanley1913.com.br/products/copo-highball-black-eclipse?variant=53974339027304
14973480730984;09090;Copo Prismático Baixo Black Eclipse Stanley 1913;Copo Prismático Baixo;Black Eclipse;201ml;185.0;12x;15.41;3;Foundry Black, Ash Bronze;0;Novidade;https://www.stanley1913.com.br/products/copo-rocks-glass-black-eclipse?variant=53974338961768
14973480665448;09044;Taça Térmica Cocktail Glass Black Eclipse Stanley 1913;Taça Térmica;Black Eclipse;414ml;379.0;12x;31.58;8;Cream Gloss, Black Gloss, Lift Stainless Steel, Lift Popsicle Pink Gloss, Lift Sour Grape Gloss, Pink Mesa, Prickly Pear;0;Novidade;https://www.stanley1913.com.br/products/taca-lifted-spirits-0-414l-black-eclipse?variant=53974338732392
14973480534376;09132;Copo Texturizado com Tampa Dark Navy Stanley 1913;Copo Texturizado;Dark Navy;473ml;209.0;12x;17.41;7;Ash, Black Gloss, Dried Pine, Frost, Prickly Pear Gradient Gloss, Stainless Steel;0;Novidade;https://www.stanley1913.com.br/products/the-everyday-tumbler-0-47l-dark-navy?variant=53974338601320
14973480501608;09095;Copo Térmico Dark Navy Stanley 1913;Copo Térmico;Dark Navy;473ml;169.0;12x;14.08;6;Ash, Black 2.0, Dried Pine, Frost, Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/the-stacking-pint-0-47l-dark-navy?variant=53974338568552
14973480468840;09087;Copo Térmico Dark Navy Stanley 1913;Copo Térmico;Dark Navy;354ml;135.0;11x;12.27;18;Ash, Black 2.0, Coastal Teal, Daffodil, Dried Pine, Frost, Purple Dust, Rose Quartz, Soft Orchid, Twilight, Popsicle Pink, Pomelo, Pistachio, Cranberry, Frost Gloss, Prickly Pear Gradient Gloss, Stainless Steel Shimmer;0;Novidade;https://www.stanley1913.com.br/products/the-stacking-pint-0-35l-dark-navy?variant=53974338535784
14973480403304;09187;Quencher Protour Dark Navy Stanley 1913;Quencher Protour;Dark Navy;1.18L;359.0;12x;29.91;17;Agave, Ash Fade, Black Fade, Dried Pine, Frost Fade, Messi Black, Pink Messi, Prickly Pear, Rose Quartz Fade, Toast, Twilight, Wild Blooms, Costal Teal, Frost, Orange Sherbet, Cream;0;Novidade;https://www.stanley1913.com.br/products/quencher-protour-1-18l-dark-navy?variant=53974338470248
14973480337768;09122;Vitalize Shaker Dark Navy Stanley 1913;Vitalize Shaker;Dark Navy;591ml;399.0;12x;33.25;7;Black, Twilight, Chalk, Cobalt Chartreuse, Dark Blossom, Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/vitalize-shaker-0-529l-dark-navy?variant=53974338404712
14973480305000;09086;Cooler Térmico Twilight Stanley 1913;Cooler Térmico;Twilight;15L;1180.0;12x;98.33;2;Sage Grey;0;Novidade;https://www.stanley1913.com.br/products/cooler-15-1l-twilight?variant=53974338371944
14973480173928;09039;Garrafa Térmica Mate Stainless Steel Ash Stanley 1913;Garrafa Térmica Mate;Stainless Steel;1.6L;449.0;12x;37.41;2;Hammertone Black;0;Novidade;https://www.stanley1913.com.br/products/ideal-mate-1-6l-stainless-steel-ash?variant=53974338077032
14973480141160;09040;Garrafa Térmica Mate Hammertone  Black Stanley 1913;Garrafa Térmica Mate;Hammertone Black;1.6L;449.0;12x;37.41;2;Stainless Steel;0;Novidade;https://www.stanley1913.com.br/products/ideal-mate-1-6l-hammertone-black?variant=53974338044264
14973480108392;09038;Garrafa Térmica Mate Dried Pine Stanley 1913;Garrafa Térmica Mate;Dried Pine;1.2L;419.0;12x;34.91;2;Hammertone Black;0;Novidade;https://www.stanley1913.com.br/products/ideal-mate-1-2l-dried-pine?variant=53974338011496
14973480042856;09036;Garrafa Térmica Mate Hammertone Black Stanley 1913;Garrafa Térmica Mate;Hammertone Black;1.2L;419.0;12x;34.91;2;Dried Pine;0;Novidade;https://www.stanley1913.com.br/products/ideal-mate-1-2l-hammertone-black?variant=53974337945960
14973480010088;09225;Garrafa Térmica Classic Hammertone Rose Quartz Stanley 1913;Garrafa Térmica Classic;Hammertone Rose Quartz;0.95L;349.0;12x;29.08;4;Hammertone Green, Black 2.0, Ash;0;Novidade;https://www.stanley1913.com.br/products/gt-classic-0-94l-hammertone-rose-quartz?variant=53974337913192
14973479977320;09115;Garrafa Térmica Classic Hammertone Ash Stanley 1913;Garrafa Térmica Classic;Ash;0.95L;349.0;12x;29.08;4;Hammertone Green, Black 2.0, Hammertone Rose Quartz;0;Novidade;https://www.stanley1913.com.br/products/gt-classic-0-94l-hammertone-ash?variant=53974337880424
