produto_id;produto;capacidade;cor;titulo_da_cor;esgotado;e_a_cor_do_card
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Rose Quartz;Garrafa Térmica Flowstate™ Spring Rose Quartz Stanley 1913 | 591ml;False;False
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Cream;Garrafa Térmica Flowstate™ Spring Cream Stanley 1913 | 591ml;False;False
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Blue Dream Stone;Garrafa Térmica Flowstate™ Spring Blue Dream Stone Stanley 1913 | 591ml;False;False
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Black 2.0;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913 | 591ml;False;True
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Ash;Garrafa Térmica Flowstate™ Spring Ash Stanley 1913 | 591ml;False;False
14973626581352;Garrafa Térmica Flowstate™ Spring Black 2.0 Stanley 1913;591ml;Peach Rose;Garrafa Térmica Flowstate™ Spring  Peach Rose Stanley 1913 | 591ml;False;False
14973506650472;Jug Térmica Fast flow Ash Stanley 1913;1.9L;Ash;Jug Térmica Fast flow Ash Stanley 1913 | 1.9L;False;True
14973506650472;Jug Térmica Fast flow Ash Stanley 1913;1.9L;Chalk;Jug Térmica Fast flow Chalk Stanley 1913 | 1.9L;False;False
14973507305832;Jug Térmica Fast flow Chalk Stanley 1913;1.9L;Ash;Jug Térmica Fast flow Ash Stanley 1913 | 1.9L;False;False
14973507305832;Jug Térmica Fast flow Chalk Stanley 1913;1.9L;Chalk;Jug Térmica Fast flow Chalk Stanley 1913 | 1.9L;False;True
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Agave;Quencher Protour Agave Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Ash Fade;Quencher Protour Ash Fade Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Black Fade;Quencher Protour Black Fade Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Dried Pine;Quencher Protour Dried Pine Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Frost Fade;Quencher Protour Frost Fade Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Messi Black;Quencher Protour Messi Black Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Pink Messi;Quencher Protour Pink Messi Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Prickly Pear;Quencher Protour Prickly Pear Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Rose Quartz Fade;Quencher Protour Rose Quartz Fade Stanley 1913 | 1.18l;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Toast;Quencher Protour Toast Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Twilight;Quencher Protour Twilight Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Wild Blooms;Quencher Protour Wild Blooms Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Costal Teal;Quencher Protour Costal Teal Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Frost;Quencher Protour Frost Lovely Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Orange Sherbet;Quencher Protour Orange Sherbet Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Dark Navy;Quencher Protour Dark Navy Stanley 1913 | 1.18L;False;False
14973506617704;Quencher Protour Cream Stanley 1913;1.18l;Cream;Quencher Protour Cream Stanley 1913 | 1.18l;False;True
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Pomelo;Garrafa Térmica Aerolight Flip Straw Pomelo Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Lilac;Garrafa Térmica Aerolight Flip Straw Lilac Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Black;Garrafa Térmica Aerolight Flip Straw Black Stanley 1913 | 710ML;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Ash;Garrafa Térmica Aerolight Flip Straw Ash Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Rose Quartz;Garrafa Térmica Aerolight Flip Straw Rose Quartz Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Hot Coral;Garrafa Térmica Aerolight Flip Straw Hot Coral Stanley 1913 | 710ml;False;False
14973503045992;Garrafa Térmica Aerolight Flip Straw Honeydew Hypergrip Stanley 1913;710ml;Splash;Garrafa Térmica Aerolight Flip Straw Splash Stanley 1913 | 710ml;False;False
